name,id,cih_module,function,category,package_status
Opioid Agonist Treatment (OAT) and psychosocial support,144,Mental health care,primary,NCDs and injuries (NCD-7),Core
Tobacco cessation counseling (including nicotine agonist treatment),145,Basic cardiovascular and respiratory care,primary,NCDs and injuries (NCD-7),Core
Care for complications of abortion,146,Family planning,primary,Other,Other
Induced abortion,147,Family planning,primary,Other,Other
Treatment of ectopic pregnancy,148,Pregnancy and childbirth services,emergency,Infections and maternal health conditions (I-8),Core
Antenatal care,149,Pregnancy and childbirth services,primary,Infections and maternal health conditions (I-8),Core
Management of maternal sepsis,150,Pregnancy and childbirth services,emergency,Infections and maternal health conditions (I-8),Core
Management of postpartum hemorrhage,151,Pregnancy and childbirth services,emergency,Infections and maternal health conditions (I-8),Core
Safe delivery,152,Pregnancy and childbirth services,emergency,Infections and maternal health conditions (I-8),Core
Early care for newborn,153,Pregnancy and childbirth services,emergency,Infections and maternal health conditions (I-8),Core
Early detection and treatment of neonatal sepsis and pneumonia,154,Pregnancy and childbirth services,emergency,Infections and maternal health conditions (I-8),Core
Management of lower extremity injuries,156,Primary surgical care,emergency,NCDs and injuries (NCD-7),Core
Management of pelvic injury (including urogenital),157,Primary surgical care,emergency,NCDs and injuries (NCD-7),Core
Management of upper extremity fractures,158,Primary surgical care,emergency,NCDs and injuries (NCD-7),Core
Acute intracranial pressure relief,159,Primary surgical care,emergency,NCDs and injuries (NCD-7),Core
Management of thoracoabdominal injury,160,Primary surgical care,emergency,NCDs and injuries (NCD-7),Core
Management of wounds (excluding burns),161,Primary surgical care,emergency,NCDs and injuries (NCD-7),Core
Management of burns,163,Primary surgical care,emergency,NCDs and injuries (NCD-7),Core
Post gender-based violence care,164,HIV/AIDS,emergency,Infections and maternal health conditions (I-8),Core
Intoxication management,165,Mental health care,emergency,NCDs and injuries (NCD-7),Core
"End stage kidney failure, peritoneal dialysis",168,Other NCD and injury-related conditions,NA,NCDs and injuries (NCD-7),Supplementary
"End stage kidney failure, renal transplantation",169,Other NCD and injury-related conditions,NA,NCDs and injuries (NCD-7),Supplementary
Treatment of acute malnutrition,178,Treatment of acute childhood illness,emergency,Infections and maternal health conditions (I-8),Core
Treatment of malaria,179,Treatment of acute childhood illness,emergency,Infections and maternal health conditions (I-8),Core
Treatment of oral cancer,180,Basic cancer care,NA,NCDs and injuries (NCD-7),Core
Intermittent malaria prevention in infancy,190,Treatment of acute childhood illness,primary,Infections and maternal health conditions (I-8),Core
Surgery for club foot,200,Other NCD and injury-related conditions,NA,NCDs and injuries (NCD-7),Supplementary
Male or Female Sterilization,206,Family planning,primary,Other,Other
LARC methods,224,Family planning,primary,Other,Other
Injectables - Family planning,226,Family planning,primary,Other,Other
Condoms - Family planning,227,Family planning,primary,Other,Other
"Contraceptive pills, patches or rings",228,Family planning,primary,Other,Other
Other modern methods of contraception,229,Family planning,primary,Other,Other
